200 45
5 75 37
5 76 42
5 77 32
5 78 21
5 79 29
5 80 46
5 81 17
5 82 45
5 83 18
5 84 1
5 85 21
5 86 31
5 87 27
5 88 14
5 89 10
5 90 10
5 91 20
5 92 22
5 93 25
5 94 41
5 95 29
5 96 19
5 97 46
5 98 30
5 99 19
5 100 41
5 101 46
5 102 11
5 103 4
5 104 42
5 105 31
5 106 44
5 107 26
5 108 35
5 109 32
5 110 50
5 111 15
5 112 9
5 113 43
5 114 41
5 115 9
5 116 10
5 117 30
5 118 37
5 119 47
5 120 8
5 121 13
5 122 2
5 123 48
5 124 46
5 125 18
5 126 42
5 127 49
5 128 14
5 129 29
5 130 8
5 131 50
5 132 5
5 133 50
5 134 27
5 135 14
5 136 1
5 137 48
5 138 17
5 139 8
5 140 15
5 141 14
5 142 18
5 143 40
5 144 47
5 145 2
5 146 40
5 147 26
5 148 28
5 149 3
5 150 6
5 151 16
5 152 21
5 153 19
5 154 21
5 155 5
5 156 43
5 157 3
5 158 41
5 159 11
5 160 34
5 161 18
5 162 45
5 163 18
5 164 32
5 165 28
5 166 40
5 167 31
5 168 37
5 169 48
5 170 46
5 171 42
5 172 14
5 173 10
5 174 36
5 175 7
5 176 38
5 177 27
5 178 5
5 179 26
5 180 22
5 181 43
5 182 11
5 183 17
5 184 38
5 185 38
5 186 8
5 187 49
5 188 4
5 189 39
5 190 2
5 191 47
5 192 30
5 193 45
5 194 27
5 195 15
5 196 27
5 197 42
5 198 45
5 199 45
5 200 43
6 7 32
6 8 9
6 9 26
6 10 47
6 11 32
6 12 35
6 13 19
6 14 34
6 15 43
6 16 12
6 17 17
6 18 8
6 19 43
6 20 14
6 21 30
6 22 42
6 23 5
6 24 2
6 25 5
6 26 49
6 27 48
6 28 11
6 29 13
6 30 4
6 31 8
6 32 16
6 33 39
6 34 30
6 35 8
6 36 6
6 37 44
6 38 24
6 39 34
6 40 14
6 41 18
6 42 27
6 43 24
6 44 20
6 45 41
6 46 17
6 47 30
6 48 22
6 49 16
6 50 28
6 51 40
6 52 4
6 53 45
6 54 38
6 55 26
6 56 2
6 57 14
6 58 23
6 59 15
6 60 23
6 61 17
6 62 41
6 63 37
6 64 18
6 65 33
6 66 18
6 67 2
6 68 24
6 69 5
6 70 16
6 71 5
6 72 18
6 73 34
6 74 29
6 75 4
6 76 6
6 77 50
6 78 47
6 79 27
6 80 27
6 81 42
6 82 14
6 83 43
6 84 16
6 85 49
6 86 18
6 87 38
6 88 27
6 89 42
6 90 41
6 91 12
6 92 22
6 93 31
6 94 44
6 95 25
6 96 24
6 97 23
6 98 42
6 99 4
6 100 45
6 101 24
6 102 37
6 103 7
6 104 12
6 105 32
6 106 13
6 107 24
6 108 5
6 109 10
6 110 31
6 111 36
6 112 38
6 113 22
6 114 7
6 115 44
6 116 27
6 117 38
6 118 17
6 119 23
6 120 15
6 121 43
6 122 50
6 123 27
6 124 40
6 125 33
6 126 44
6 127 11
6 128 17
6 129 13
6 130 31
6 131 4
6 132 26
6 133 37
6 134 21
6 135 10
6 136 15
6 137 28
6 138 24
6 139 32
6 140 28
6 141 37
6 142 39
6 143 42
6 144 45
6 145 37
6 146 39
6 147 46
6 148 45
6 149 16
6 150 20
6 151 40
6 152 34
6 153 12
6 154 22
6 155 28
6 156 42
6 157 36
6 158 48
6 159 48
6 160 33
6 161 18
6 162 11
6 163 34
6 164 15
6 165 36
6 166 28
6 167 5
6 168 36
6 169 6
6 170 47
6 171 34
6 172 6
6 173 23
6 174 4
6 175 44
6 176 50
6 177 21
6 178 39
6 179 31
6 180 17
6 181 25
6 182 35
6 183 15
6 184 12
6 185 29
6 186 2
6 187 6
6 188 9
6 189 12
6 190 39
6 191 6
6 192 40
6 193 7
6 194 28
6 195 35
6 196 16
6 197 6
6 198 18
6 199 7
6 200 12
7 8 11
7 9 36
7 10 16
7 11 43
7 12 32
7 13 15
7 14 44
7 15 46
7 16 31
7 17 2
7 18 26
7 19 35
7 20 35
7 21 19
7 22 17
7 23 48
7 24 13
7 25 32
7 26 31
7 27 11
7 28 24
7 29 44
7 30 20
7 31 45
7 32 26
7 33 18
7 34 29
7 35 46
7 36 21
7 37 26
7 38 43
7 39 13
7 40 9
7 41 45
7 42 2
7 43 1
7 44 48
7 45 44
7 46 17
7 47 38
7 48 10
7 49 20
7 50 8
7 51 28
7 52 8
7 53 45
7 54 13
7 55 8
7 56 5
7 57 16
7 58 39
7 59 5
7 60 31
7 61 14
7 62 25
7 63 42
7 64 7
7 65 2
7 66 31
7 67 35
7 68 46
7 69 39
7 70 33
7 71 27
7 72 37
7 73 26
7 74 34
7 75 50
7 76 40
7 77 29
7 78 50
7 79 12
7 80 39
7 81 34
7 82 40
7 83 42
7 84 21
7 85 9
7 86 15
7 87 27
7 88 27
7 89 40
7 90 37
7 91 11
7 92 29
7 93 6
7 94 25
7 95 5
7 96 48
7 97 47
7 98 28
7 99 12
7 100 5
7 101 15
7 102 17
7 103 27
7 104 36
7 105 34
7 106 12
7 107 17
7 108 16
7 109 28
7 110 3
7 111 25
7 112 37
7 113 16
7 114 13
7 115 27
7 116 29
7 117 50
7 118 37
7 119 20
7 120 42
7 121 15
7 122 38
7 123 15
7 124 30
7 125 7
7 126 7
7 127 43
7 128 26
7 129 22
7 130 26
7 131 34
7 132 26
7 133 35
7 134 47
7 135 13
7 136 22
7 137 31
7 138 18
7 139 44
7 140 7
7 141 49
7 142 27
7 143 34
7 144 47
7 145 50
7 146 39
7 147 20
7 148 13
7 149 4
7 150 39
7 151 39
7 152 27
7 153 14
7 154 13
7 155 20
7 156 9
7 157 12
7 158 4
7 159 2
7 160 47
7 161 6
7 162 24
7 163 30
7 164 42
7 165 40
7 166 31
7 167 4
7 168 24
7 169 24
7 170 13
7 171 46
7 172 2
7 173 28
7 174 28
7 175 49
7 176 29
7 177 34
7 178 11
7 179 21
7 180 44
7 181 10
7 182 29
7 183 36
7 184 16
7 185 46
7 186 25
7 187 29
7 188 29
7 189 43
7 190 41
7 191 47
7 192 26
7 193 46
7 194 18
7 195 5
7 196 37
7 197 44
7 198 15
7 199 5
7 200 34
8 9 20
8 10 14
8 11 39
8 12 6
8 13 6
8 14 8
8 15 9
8 16 42
8 17 18
8 18 48
8 19 46
8 20 1
8 21 23
8 22 30
8 23 12
8 24 12
8 25 30
8 26 45
8 27 31
8 28 46
8 29 8
8 30 26
8 31 27
8 32 49
8 33 31
8 34 20
8 35 15
8 36 20
8 37 2
8 38 5
8 39 3
8 40 13
8 41 26
8 42 50
8 43 47
8 44 38
8 45 27
8 46 18
8 47 4
8 48 23
8 49 11
8 50 5
8 51 38
8 52 10
8 53 50
8 54 20
8 55 24
8 56 34
8 57 45
8 58 24
8 59 46
8 60 41
8 61 36
8 62 13
8 63 9
8 64 35
8 65 23
8 66 18
8 67 2
8 68 42
8 69 4
8 70 34
8 71 45
8 72 26
8 73 25
8 74 31
8 75 9
8 76 21
8 77 3
8 78 46
8 79 33
8 80 14
8 81 6
8 82 24
8 83 24
8 84 37
8 85 26
8 86 39
8 87 26
8 88 40
8 89 25
8 90 30
8 91 2
8 92 25
8 93 34
8 94 24
8 95 26
8 96 2
8 97 7
8 98 48
8 99 39
8 100 6
8 101 5
8 102 19
8 103 20
8 104 37
8 105 34
8 106 45
8 107 15
8 108 16
8 109 6
8 110 39
8 111 19
8 112 15
8 113 13
8 114 2
8 115 1
8 116 30
8 117 10
8 118 9
8 119 23
8 120 1
8 121 47
8 122 23
8 123 4
8 124 48
8 125 21
8 126 43
8 127 18
8 128 48
8 129 49
8 130 17
8 131 24
8 132 47
8 133 14
8 134 11
8 135 45
8 136 33
8 137 49
8 138 43
8 139 46
8 140 28
8 141 26
8 142 6
8 143 8
8 144 33
8 145 39
8 146 15
8 147 44
8 148 31
8 149 23
8 150 25
8 151 48
8 152 16
8 153 11
8 154 18
8 155 17
8 156 24
8 157 1
8 158 16
8 159 9
8 160 9
8 161 41
8 162 8
8 163 23
8 164 50
8 165 8
8 166 4
8 167 17
8 168 11
8 169 33
8 170 43
8 171 50
8 172 8
8 173 34
8 174 18
8 175 5
8 176 26
8 177 30
8 178 26
8 179 27
8 180 36
8 181 37
8 182 14
8 183 26
8 184 37
8 185 42
8 186 27
8 187 26
8 188 24
8 189 23
8 190 20
8 191 47
8 192 38
8 193 35
8 194 6
8 195 16
8 196 4
8 197 41
8 198 33
8 199 2
8 200 23
9 10 10
9 11 19
9 12 7
9 13 23
9 14 1
9 15 1
9 16 48
9 17 15
9 18 5
9 19 4
9 20 45
9 21 37
9 22 47
9 23 46
9 24 2
9 25 3
9 26 38
9 27 18
9 28 13
9 29 32
9 30 20
9 31 7
9 32 30
9 33 10
9 34 18
9 35 47
9 36 1
9 37 18
9 38 26
9 39 5
9 40 31
9 41 48
9 42 15
9 43 12
9 44 45
9 45 46
9 46 12
9 47 28
9 48 42
9 49 7
9 50 41
9 51 48
9 52 6
9 53 43
9 54 33
9 55 33
9 56 24
9 57 27
9 58 49
9 59 49
9 60 9
9 61 18
9 62 41
9 63 46
9 64 48
9 65 4
9 66 18
9 67 46
9 68 14
9 69 43
9 70 16
9 71 24
9 72 17
9 73 3
9 74 21
9 75 34
9 76 7
9 77 31
9 78 8
9 79 2
9 80 13
9 81 7
9 82 45
9 83 49
9 84 33
9 85 11
9 86 40
9 87 16
9 88 35
9 89 22
9 90 17
9 91 43
9 92 23
9 93 34
9 94 27
9 95 8
9 96 12
9 97 36
9 98 12
9 99 25
9 100 1
9 101 23
9 102 9
9 103 36
9 104 45
9 105 3
9 106 33
9 107 46
9 108 10
9 109 26
9 110 31
9 111 45
9 112 30
9 113 41
9 114 37
9 115 22
9 116 11
9 117 20
9 118 18
9 119 31
9 120 17
9 121 7
9 122 42
9 123 29
9 124 6
9 125 33
9 126 22
9 127 37
9 128 46
9 129 26
9 130 13
9 131 11
9 132 2
9 133 15
9 134 44
9 135 10
9 136 24
9 137 2
9 138 41
9 139 33
9 140 32
9 141 25
9 142 14
9 143 13
9 144 11
9 145 24
9 146 48
9 147 7
9 148 12
9 149 41
9 150 6
9 151 32
9 152 9
9 153 14
9 154 37
9 155 49
9 156 37
9 157 21
9 158 31
9 159 17
9 160 47
9 161 21
9 162 19
9 163 31
9 164 18
9 165 14
9 166 35
9 167 25
9 168 2
9 169 22
9 170 50
9 171 18
9 172 11
9 173 10
9 174 30
9 175 29
9 176 23
9 177 25
9 178 41
9 179 23
9 180 30
9 181 49
9 182 27
9 183 25
9 184 36
9 185 14
9 186 23
9 187 24
9 188 4
9 189 42
9 190 30
9 191 10
9 192 32
9 193 2
9 194 48
9 195 34
9 196 10
9 197 33
9 198 48
9 199 15
9 200 25
10 11 5
10 12 12
10 13 5
10 14 25
10 15 16
10 16 37
10 17 44
10 18 28
10 19 18
10 20 8
10 21 6
10 22 8
10 23 26
10 24 20
10 25 33
10 26 38
10 27 47
10 28 46
10 29 21
10 30 1
10 31 49
10 32 37
10 33 4
10 34 13
10 35 10
10 36 26
10 37 15
10 38 11
10 39 26
10 40 39
10 41 16
10 42 19
10 43 14
10 44 6
10 45 34
10 46 21
10 47 5
10 48 33
10 49 1
10 50 43
10 51 22
10 52 13
10 53 27
10 54 42
10 55 13
10 56 34
10 57 46
10 58 5
10 59 49
10 60 46
10 61 7
10 62 13
10 63 9
10 64 45
10 65 12
10 66 49
10 67 14
10 68 41
10 69 7
10 70 32
10 71 50
10 72 26
10 73 28
10 74 35
10 75 40
10 76 20
10 77 45
10 78 35
10 79 16
10 80 3
10 81 5
10 82 49
10 83 39
10 84 46
10 85 29
10 86 50
10 87 27
10 88 42
10 89 4
10 90 3
10 91 49
10 92 20
10 93 50
10 94 13
10 95 8
10 96 1
10 97 28
10 98 32
10 99 13
10 100 45
10 101 43
10 102 33
10 103 20
10 104 41
10 105 28
10 106 16
10 107 42
10 108 5
10 109 2
10 110 29
10 111 27
10 112 43
10 113 34
10 114 41
10 115 18
10 116 45
10 117 18
10 118 43
10 119 9
10 120 16
10 121 17
10 122 32
10 123 30
10 124 18
10 125 36
10 126 48
10 127 34
10 128 32
10 129 11
10 130 19
10 131 39
10 132 22
10 133 14
10 134 11
10 135 31
10 136 5
10 137 42
10 138 8
10 139 4
10 140 43
10 141 12
10 142 48
10 143 2
10 144 24
10 145 39
10 146 4
10 147 1
10 148 11
10 149 26
10 150 16
10 151 36
10 152 14
10 153 37
10 154 9
10 155 6
10 156 42
10 157 10
10 158 32
10 159 13
10 160 14
10 161 49
10 162 41
10 163 28
10 164 7
10 165 48
10 166 30
10 167 6
10 168 14
10 169 47
10 170 35
10 171 29
10 172 20
10 173 25
10 174 6
10 175 40
10 176 28
10 177 6
10 178 16
10 179 1
10 180 5
10 181 45
10 182 5
10 183 29
10 184 15
10 185 49
10 186 10
10 187 33
10 188 13
10 189 46
10 190 18
10 191 36
10 192 31
10 193 24
10 194 25
10 195 9
10 196 10
10 197 34
10 198 7
10 199 43
10 200 18
11 12 37
11 13 36
11 14 37
11 15 32
11 16 43
11 17 9
11 18 3
11 19 33
11 20 15
11 21 5
11 22 34
11 23 27
11 24 23
11 25 15
11 26 45
11 27 3
11 28 37
11 29 50
11 30 41
11 31 41
11 32 44
11 33 13
11 34 29
11 35 16
11 36 17
11 37 8
11 38 27
11 39 42
11 40 40
11 41 22
11 42 43
11 43 3
11 44 22
11 45 27
11 46 45
11 47 37
11 48 14
11 49 1
11 50 4
11 51 18
11 52 20
11 53 25
11 54 8
11 55 31
11 56 4
11 57 17
11 58 37
11 59 3
11 60 29
11 61 31
11 62 24
11 63 33
11 64 6
11 65 19
11 66 6
11 67 5
11 68 47
11 69 34
11 70 43
11 71 36
11 72 35
11 73 16
11 74 6
11 75 5
11 76 12
11 77 6
11 78 23
11 79 9
11 80 46
11 81 5
11 82 46
11 83 50
11 84 3
11 85 43
11 86 47
11 87 37
11 88 10
11 89 47
11 90 50
11 91 30
11 92 43
11 93 4
11 94 34
11 95 17
11 96 14
11 97 1
11 98 39
11 99 18
11 100 26
11 101 47
11 102 12
11 103 50
11 104 45
11 105 1
11 106 8
11 107 2
11 108 33
11 109 8
11 110 50
11 111 19
11 112 24
11 113 35
11 114 11
11 115 22
11 116 21
11 117 10
11 118 43
11 119 5
11 120 6
11 121 42
11 122 30
11 123 35
11 124 24
11 125 28
11 126 8
11 127 18
11 128 42
11 129 1
11 130 7
11 131 2
11 132 17
11 133 25
11 134 1
11 135 1
11 136 40
11 137 16
11 138 6
11 139 15
11 140 40
11 141 39
11 142 19
11 143 38
11 144 44
11 145 46
11 146 28
11 147 24
11 148 25
11 149 28
11 150 45
11 151 21
11 152 12
11 153 5
11 154 28
11 155 33
11 156 32
11 157 11
11 158 10
11 159 13
11 160 9
11 161 45
11 162 25
11 163 50
11 164 13
11 165 12
11 166 16
11 167 24
11 168 10
11 169 2
11 170 27
11 171 30
11 172 6
11 173 44
11 174 13
11 175 18
11 176 15
11 177 44
11 178 1
11 179 30
11 180 35
11 181 21
11 182 24
11 183 30
11 184 10
11 185 40
11 186 2
11 187 46
11 188 31
11 189 26
11 190 31
11 191 45
11 192 34
11 193 33
11 194 11
11 195 10
11 196 19
11 197 15
11 198 44
11 199 28
11 200 46
12 13 14
12 14 4
12 15 47
12 16 24
12 17 48
12 18 36
12 19 21
12 20 6
12 21 22
12 22 5
12 23 38
12 24 1
12 25 42
12 26 35
12 27 38
12 28 42
12 29 34
12 30 30
12 31 1
12 32 41
12 33 48
12 34 6
12 35 6
12 36 29
12 37 32
12 38 25
12 39 37
12 40 25
12 41 3
12 42 9
12 43 39
12 44 24
12 45 29
12 46 8
12 47 46
12 48 31
12 49 9
12 50 7
12 51 17
12 52 39
12 53 41
12 54 18
12 55 15
12 56 19
12 57 44
12 58 30
12 59 10
12 60 45
12 61 16
12 62 32
12 63 13
12 64 46
12 65 25
12 66 2
12 67 40
12 68 16
12 69 19
12 70 18
12 71 12
12 72 33
12 73 18
12 74 43
12 75 38
12 76 7
12 77 5
12 78 15
12 79 38
12 80 1
12 81 4
12 82 21
12 83 36
12 84 41
12 85 19
12 86 39
12 87 19
12 88 28
12 89 22
12 90 40
12 91 49
12 92 28
12 93 35
12 94 22
12 95 9
12 96 43
12 97 18
12 98 23
12 99 27
12 100 1
12 101 26
12 102 37
12 103 12
12 104 16
12 105 19
12 106 13
12 107 39
12 108 23
12 109 5
12 110 15
12 111 33
12 112 43
12 113 14
12 114 15
12 115 36
12 116 15
12 117 29
12 118 50
12 119 30
12 120 24
12 121 41
12 122 23
12 123 14
12 124 7
12 125 13
12 126 29
12 127 34
12 128 8
12 129 17
12 130 21
12 131 20
12 132 8
12 133 38
12 134 30
12 135 45
12 136 20
12 137 3
12 138 30
12 139 31
12 140 22
12 141 8
12 142 10
12 143 24
12 144 21
12 145 32
12 146 50
12 147 17
12 148 9
12 149 14
12 150 18
12 151 23
12 152 16
12 153 16
12 154 45
12 155 3
12 156 18
12 157 22
12 158 10
12 159 22
12 160 43
12 161 2
12 162 43
12 163 43
12 164 49
12 165 3
12 166 19
12 167 1
12 168 35
12 169 6
12 170 29
12 171 24
12 172 25
12 173 23
12 174 27
12 175 4
12 176 6
12 177 30
12 178 30
12 179 42
12 180 10
12 181 7
12 182 22
12 183 29
12 184 18
12 185 19
12 186 41
12 187 18
12 188 21
12 189 23
12 190 34
12 191 28
12 192 11
12 193 8
12 194 39
12 195 47
12 196 7
12 197 38
12 198 48
12 199 3
12 200 3
13 14 37
13 15 23
13 16 16
13 17 27
13 18 33
13 19 33
13 20 50
13 21 35
13 22 20
13 23 20
